strike,option_type,market_price,theoretical_price_fixed,theoretical_price_implied,implied_volatility,absolute_error_fixed,absolute_error_implied,relative_error_fixed,relative_error_implied,moneyness,delta,gamma,vega,theta,rho
23150.0,call,1505.0,1718.606421892895,1718.5957643355869,0.05,213.606421892895,213.59576433558686,14.193117733747176,14.192409590404441,1.0734341252699784,0.9997534550547356,1.6999064823821913e-30,8.627921924111153e-25,-1130.4849432236956,380.14154948670557
23200.0,call,1480.0,1668.6661224305026,1668.6491604613439,0.05,188.66612243050258,188.64916046134385,12.747710975033957,12.746564896036746,1.0711206896551724,0.9997534550547356,6.929774344255386e-29,3.517225954109956e-23,-1133.7314724755215,380.9625895503917
23250.0,call,1390.3,1618.729220898007,1618.7025565871008,0.05,228.4292208980071,228.4025565871009,16.43021081047307,16.42829292865575,1.0688172043010753,0.9997534550547356,2.5033065621321026e-27,1.2705601039842914e-21,-1136.9780017273472,381.7836296140779
23300.0,call,1360.0,1568.7973598261487,1568.7559527128578,0.05,208.79735982614875,208.75595271285783,15.35274704604035,15.349702405357194,1.0665236051502145,0.9997534550547356,8.01937726769558e-26,4.0702569031155155e-20,-1140.224530979173,382.6046696777641
23350.0,call,1310.25,1518.8728769092668,1518.8093488386148,0.05,208.62287690926678,208.55934883861482,15.922371830510725,15.917523284763583,1.0642398286937902,0.9997534550547356,2.279959418795708e-24,1.1571996494739226e-18,-1143.471060230999,383.4257097414503
23400.0,call,1269.0,1468.9590521774953,1468.8627449643718,0.05,199.95905217749532,199.8627449643718,15.757214513593013,15.749625292700694,1.061965811965812,0.9997534550547356,5.757038090334754e-23,2.9220004554565e-17,-1146.7175894828247,384.2467498051365
23450.0,call,1223.0,1419.060422862054,1418.9161410901288,0.05,196.0604228620541,195.9161410901288,16.031105712351113,16.019308347516663,1.0597014925373134,0.9997534550547356,1.292051200440177e-21,6.557841266497143e-16,-1149.9641187346506,385.0677898688227
23500.0,call,1151.2,1369.1831766853902,1368.9695372158858,0.05,217.98317668539016,217.76953721588575,18.93530026801513,18.916742287689868,1.0574468085106383,0.9997534550547356,2.579227183475557e-20,1.3090938233488639e-14,-1153.2106479864763,385.8888299325088
23550.0,call,1112.0,1319.3356331576142,1319.0229333416428,0.05,207.3356331576142,207.02293334164278,18.645290751584014,18.61717026453622,1.0552016985138004,0.9997534550547356,4.582968379034503e-19,2.3260981568567125e-13,-1156.4571772383026,386.70986999619504
23600.0,call,1068.6,1269.5288200494251,1269.0763294673998,0.05,200.9288200494252,200.47632946739986,18.802996448570582,18.76065220544637,1.0529661016949152,0.9997534550547355,7.253827034117542e-18,3.6816997846650814e-12,-1159.7037064901333,387.53091005988114
23650.0,call,1035.0,1219.7771482907992,1219.1297255931568,0.05,184.77714829079923,184.12972559315676,17.852864569159347,17.79031165151273,1.0507399577167018,0.9997534550547336,1.0234434510011216e-16,5.194515275102795e-11,-1162.9502357420301,388.35195012356667
23700.0,call,961.2,1170.0991829433588,1169.1831217189174,0.05,208.8991829433587,207.98312171891735,21.733165100224582,21.637861185904843,1.0485232067510548,0.9997534550547087,1.288094326816084e-15,6.537758046010563e-10,-1166.1967649947405,389.17299018724265
23750.0,call,934.45,1120.5185005626772,1119.236517844678,0.05,186.06850056267717,184.78651784467797,19.91208738430918,19.774896232508745,1.0463157894736843,0.999753455054421,1.447195148452163e-14,7.345278625151103e-09,-1169.443294256385,389.9940302508112
23800.0,call,863.0,1071.0646143270715,1069.2899139705041,0.05,208.06461432707147,206.28991397050413,24.109457048328096,23.90381390156479,1.0441176470588236,0.9997534550514329,1.4524735516574923e-13,7.372069305233537e-08,-1172.6898236054396,390.81507031327567
23850.0,call,836.35,1021.7739380951134,1019.3433100969087,0.05,185.42393809511339,182.99331009690866,22.170614945311577,21.879991641885415,1.0419287211740043,0.9997534550236816,1.3031512408735685e-12,6.614179825827519e-07,-1175.936353716532,391.6361103656149
23900.0,call,764.65,972.6907496318236,969.3967062283482,0.05,208.0407496318236,204.74670622834822,27.207317025021066,26.776526022147156,1.0397489539748954,0.9997534547929848,1.0458955017104329e-11,5.308471273602581e-06,-1179.1828897487412,392.45715033496975
23950.0,call,719.0,923.8681024195794,919.4501023986049,0.05,204.86810241957937,200.45010239860494,28.49347738798044,27.879012850988172,1.0375782881002087,0.9997534530751931,7.514287136860115e-11,3.813897023401397e-05,-1182.4294667930355,393.27818969621825
24000.0,call,665.0,875.3686257523186,869.5034988373773,0.05,210.36862575231862,204.50349883737726,31.63437981237874,30.75240584020711,1.0354166666666667,0.9997534416103623,4.836043003116451e-10,0.000245454687566464,-1185.6762970721163,394.09922507145404
24050.0,call,616.15,827.2651453545004,819.556896943337,0.05,211.11514535450044,203.40689694333707,34.26359577286382,33.01256138007581,1.0332640332640333,0.9997533729780925,2.7899087760981633e-09,0.0014160258428943106,-1188.9245211632658,394.9202370667768
24100.0,call,573.0,779.6410527637781,769.6103043456351,0.05,206.64105276377813,196.6103043456351,36.06301095353894,34.31244403937785,1.0311203319502074,0.9997530042165863,1.4437091390226704e-08,0.007327585288784603,-1192.1795819926022,395.74112630854563
24150.0,call,524.0,732.590352281004,719.6637583330557,0.05,208.59035228100402,195.66375833305574,39.80731913759619,37.34041189562132,1.0289855072463767,0.9997512246686832,6.705781878155528e-08,0.034035379642629836,-1195.464514499063,396.5614384879515
24200.0,call,484.6,686.2173203102066,669.7174222525355,0.05,201.61732031020654,185.11742225253545,41.60489482257667,38.20004586309027,1.0268595041322315,0.9997435066026032,2.7976096970261037e-07,0.14199344664097002,-1198.865622874086,397.379321372419
24250.0,call,436.75,640.6357238996134,619.771937489073,0.05,203.88572389961337,183.02193748907303,46.68247828268194,41.905423580783754,1.024742268041237,0.999713402388647,1.0490075427759534e-06,0.532426652329203,-1202.6684587315212,398.18804567455555
24300.0,call,390.45,595.9675632757317,569.8295613418522,0.05,205.51756327573167,179.37956134185225,52.636077161155505,45.94174960733827,1.022633744855967,0.9996077330856525,3.537590277331775e-06,1.795513637287899,-1207.7043638617447,398.9658510548484
24350.0,call,348.8,552.3413265759264,519.8974130673487,0.05,203.54132657592635,171.09741306734867,58.35473812383209,49.05315741609766,1.0205338809034907,0.9992737277517247,1.0736318993247985e-05,5.449248119595598,-1216.0916730640251,399.6502146010357
24400.0,call,310.0,509.8897726626856,469.99560526806454,0.05,199.88977266268557,159.99560526806454,64.48057182667276,51.6114855703434,1.0184426229508197,0.9983224250211048,2.9342806228885954e-05,14.893021692721007,-1232.5157025706449,400.08191764120085
24450.0,call,270.6,468.7472881053145,420.17499669824247,0.05,198.1472881053145,149.57499669824244,73.22516190144658,55.27531289661582,1.016359918200409,0.9958794435389032,7.226426139358637e-05,36.67792385459255,-1265.8498430072275,399.90294534646847
24500.0,call,235.05,429.0468949456663,370.55056360761955,0.05,193.99689494566627,135.50056360761954,82.53430969822007,57.647548865185925,1.0142857142857142,0.9902192593165349,0.0001604709494291833,81.44747002921876,-1330.129670402403,398.4065429656154
24550.0,call,200.15,390.91701424958956,321.35425383308393,0.05,190.76701424958955,121.20425383308392,95.31202310746417,60.556709384503584,1.0122199592668024,0.9783801134641772,0.00032150919923384377,163.1828749182586,-1442.923220084941,394.37903943701446
24600.0,call,172.0,354.4781141644671,273.0024247336187,0.05,182.47811416446712,101.00242473361868,106.09192683980646,58.72233996140621,1.0101626016260163,0.9560105426145296,0.0005815481468076952,295.16635519483964,-1618.9967734496859,386.03604754910845
24650.0,call,141.3,319.83938794772257,226.15709816832896,0.05,178.53938794772256,84.85709816832895,126.35483931190554,60.05456345953923,1.0081135902636917,0.9178066061943904,0.0009502598674578621,482.30699917992956,-1859.183058068398,371.20006135499614
24700.0,call,119.35,287.09561535903777,181.7438037869142,0.05,167.74561535903777,62.39380378691422,140.54932162466508,52.2780090380513,1.0060728744939271,0.8587953139595652,0.0014035590614944248,712.380247028787,-2138.651456038224,347.8244342154785
24750.0,call,96.45,256.3243587644556,140.8855571697386,0.05,159.87435876445562,44.4355571697386,165.75879602328214,46.07108052850036,1.004040404040404,0.7763056079992836,0.0018750625713421776,951.6931452424518,-2402.768815112639,314.79959673883485
24800.0,call,80.0,227.58363296641983,104.73549028795969,0.05,147.58363296641983,24.735490287959692,184.47954120802478,30.91936285994962,1.002016129032258,0.6718911099412902,0.00226704855352696,1150.6467044345359,-2577.958760227525,272.74123712470845
24850.0,call,64.35,200.91016573911656,74.23797290706534,0.05,136.56016573911657,9.887972907065347,212.21470977329693,15.365925263504815,1.0,0.552141298826443,0.002482144937857783,1259.8194636068076,-2597.18552978825,224.3255885413158
24900.0,call,51.35,176.31833577693396,51.35000000000218,0.05116286118260059,124.96833577693397,2.1813661987835076e-12,243.3657950865316,4.2480354406689535e-12,0.9979919678714859,0.4293159822086759,0.0024083763597324013,1250.8071386644285,-2476.5980479458053,174.52852862277686
24950.0,call,40.65,153.7998384657385,40.65000019392028,0.057881828461354125,113.1498384657385,1.9392027894582498e-07,278.3513861395781,4.770486566932964e-07,0.9959919839679359,0.3347159534784437,0.0019745507828413454,1160.1702415705133,-2455.8058923194912,136.0609552396505
25000.0,call,32.2,133.32409030730014,32.20000000000073,0.06356930904966189,101.12409030730014,7.247535904753022e-13,314.04996989844756,2.2507875480599446e-12,0.994,0.2631511682161916,0.0016112554355690893,1039.7359454275688,-2335.270902375163,106.96613474255936
25050.0,call,24.55,114.83934297903579,24.5500000016782,0.06751242548705912,90.2893429790358,1.6781989131686714e-09,367.7773644767242,6.8358407868377645e-09,0.9920159680638723,0.20412534993008777,0.0013174156263965101,902.8543472271159,-2106.0440554243496,82.9802456837425
25100.0,call,19.6,98.27444087954336,19.6000000921199,0.07229923500184554,78.67444087954337,9.211989748791893e-08,401.4002085690988,4.699994769791782e-07,0.9900398406374502,0.16188514354268368,0.0010642825236202604,781.0913077542915,-1917.567538036432,65.80678055249702
25150.0,call,15.75,83.54112426841584,15.75000000000091,0.07681859246991454,67.79112426841584,9.094947017729282e-13,430.41983662486246,5.774569535066211e-12,0.9880715705765407,0.1292005417739217,0.000860582356420278,671.0732931664107,-1727.5146420037483,52.518632269840325
25200.0,call,11.85,70.5367558758062,11.85000000000582,0.0795614806033802,58.68675587580619,5.821121362714621e-12,495.2468850279003,4.9123387027127606e-11,0.9861111111111112,0.09929743283085217,0.0006887290707591378,556.2402905743428,-1468.7055517600365,40.36752667145211
25250.0,call,9.7,59.14733352433814,9.700000000180353,0.0839003021686402,49.447333524338134,1.8035350990430743e-10,509.7663249931767,1.859314535095953e-09,0.9841584158415841,0.08033708130320559,0.0005578883731683712,475.14045308513164,-1311.7313292718304,32.65769540358047
25300.0,call,7.8,49.25064544695397,7.800000002762317,0.0876150961605837,41.45064544695397,2.7623174858604216e-09,531.4185313712047,3.541432674180028e-08,0.9822134387351779,0.06438533331735527,0.0004508540739985213,400.9831400304228,-1148.0954746446741,26.17274848657834
25350.0,call,6.05,40.719428356034314,6.050000037208747,0.09045891616293483,34.66942835603432,3.720874719448375e-08,573.0484025790797,6.150206147848554e-07,0.980276134122288,0.050389891242736885,0.00036005522844731843,330.6219429745755,-971.9088112604127,20.484473381010453
25400.0,call,4.65,33.42439994593087,4.650000334197898,0.09303178997997621,28.774399945930874,3.3419789779998155e-07,618.804299912492,7.187051565591001e-06,0.9783464566929134,0.039155678596432236,0.0002857148390269793,269.820750452083,-811.8650303617344,15.91838815540509
25450.0,call,4.15,27.237055834398234,4.150000534008882,0.09803065146775813,23.087055834398235,5.340088815586341e-07,556.3145984192345,1.2867683892979135e-05,0.9764243614931237,0.0338772350322863,0.000240846346051553,239.66969474228998,-756.4615773364781,13.77039928797214
25500.0,call,3.6,22.03214402481808,3.6000009639899417,0.10234173426680178,18.43214402481808,9.63989941649146e-07,512.0040006893911,2.6777498379142942e-05,0.9745098039215686,0.02879992376408535,0.00020171066018475695,209.55247521662503,-687.86463544365,11.705393499838863
25550.0,call,2.85,17.689755682955138,2.8500000000011596,0.10494609691986681,14.839755682955138,1.1595169269185135e-12,520.693181858075,4.0684804453281175e-11,0.9726027397260274,0.022920025829575842,0.0001624818472062458,173.0941183817959,-580.8284258635413,9.315824249834932
25600.0,call,2.4,14.096997288910416,2.400000000004127,0.10845341413517515,11.696997288910415,4.126921027136632e-12,487.374887037934,1.7195504279735968e-10,0.970703125,0.01911208026758695,0.00013481667269428434,148.42190612291918,-513.2036592983582,7.767701829855313
25650.0,call,2.05,11.149234179385985,2.050000000009902,0.11205559441201494,9.099234179385984,9.902301201236696e-12,443.8650819212676,4.830390829871559e-10,0.9688109161793372,0.016129707075414335,0.0001128911350237949,128.4116881137094,-457.58087228925774,6.555176232723883
24300.0,put,2.55,26.143688047740397,2.5500000000490672,0.0912457995195831,23.593688047740397,4.906741679633342e-11,925.2426685388391,1.9242124233856245e-09,0.9778672032193159,-0.02333165421488671,0.00018969993653509398,175.70787991468075,-458.5031016728059,-9.5727387491504
24350.0,put,2.05,32.464055222178104,2.0500000020888365,0.08152784003791701,30.414055222178103,2.0888366591975682e-09,1483.6124498623467,1.0189447118036918e-07,0.9798792756539235,-0.02125510794881427,0.00019625480577107574,162.41921563286948,-376.22528323914537,-8.716264644330776
24400.0,put,4.4,39.95910518317942,4.400000725021528,0.08531972642449427,35.55910518317942,7.250215272591731e-07,808.1614814358959,1.6477761983163024e-05,0.9818913480885312,-0.03994629740735798,0.00031664734753774205,274.24358701771956,-661.7816882224557,-16.39011766517042
24450.0,put,5.55,48.76322450004773,5.550000109499479,0.08149952497001903,43.21322450004773,1.0949947881755406e-07,778.6166576585176,1.9729635822982715e-06,0.9839034205231388,-0.05081611383801923,0.00040232694281310254,332.84755156453724,-761.610630972431,-20.849267325768956
24500.0,put,7.3,59.00943521464524,7.30000000619043,0.0782012894336127,51.70943521464524,6.190430390518031e-09,708.34842759788,8.480041630846619e-08,0.9859154929577465,-0.06656781456458398,0.0005183565647915536,411.48469760448984,-895.5817725887708,-27.31249630579894
24550.0,put,8.95,70.82615839281152,8.950000000405907,0.07342208319687568,61.87615839281152,4.0590819594399363e-10,691.3537250593466,4.535287105519482e-09,0.9879275653923542,-0.08342411839796943,0.0006558809360470208,488.8356630724554,-987.4584865698787,-34.225304255177186
24600.0,put,9.15,84.33386218193027,9.150000000177897,0.06501904815244952,75.18386218193027,1.7789680839541688e-10,821.6815539008772,1.9442274141575614e-09,0.9899396378269618,-0.0941143057222407,0.0008102348938524695,534.7646883339769,-940.0524103626897,-38.595460227910024
24650.0,put,12.4,99.64173983942874,12.400000000003729,0.06115324166389933,87.24173983942873,3.728573005901126e-12,703.5624180599091,3.006913714436392e-11,0.9919517102615694,-0.12723838401606166,0.0010696066504157847,663.9796208974859,-1076.1540386164265,-52.17984399121864
24700.0,put,16.35,116.84457112498785,16.350000120428376,0.05638433598089052,100.49457112498786,1.204283748279522e-07,614.6456949540541,7.365649836572e-07,0.993963782696177,-0.1697920294001174,0.0014074050242593164,805.5430210023418,-1169.4959072366114,-69.62764817610974
24750.0,put,14.25,136.0199184046487,20.58111680993443,0.05,121.7699184046487,6.331116809934429,854.5257431905172,44.42888989427669,0.9959758551307847,-0.22344784705545198,0.0018750625713421776,951.6931452424518,-1168.3949358305176,-91.61523478582875
24800.0,put,20.85,157.22579648085593,34.37765380239671,0.05,136.37579648085594,13.527653802396706,654.0805586611796,64.88083358463648,0.9979879275653923,-0.3278623451134453,0.00226704855352696,1150.6467044345359,-1340.3383516935783,-134.4946344636413
24850.0,put,22.85,180.49893312779568,53.82674029574446,0.05,157.6489331277957,30.976740295744456,689.9296854608126,135.5656030448335,1.0,-0.44761215622829253,0.002482144937857783,1259.8194636068076,-1356.3185920024769,-183.7313231107202
24900.0,put,23.3,205.8537070398561,79.43141076790744,0.05,182.55370703985608,56.13141076790744,783.4923048920862,240.90734235153408,1.0020120724346075,-0.5721198568637661,0.002462487662186856,1249.8423594844787,-1184.7799578628346,-235.01276472053414
24950.0,put,20.45,233.28181360290546,111.11988315092458,0.05,212.83181360290547,90.66988315092458,1040.7423648063836,443.3735117404625,1.0040241448692153,-0.689549333790815,0.0022149250977404294,1124.1913016460935,-845.7197649468699,-283.502808129085
25000.0,put,27.35,262.7526693187119,148.26853332072642,0.05,235.40266931871193,120.91853332072643,860.7044582036998,442.11529550539825,1.0060362173038229,-0.7900728428114759,0.0018073307446194813,917.3156710226989,-403.78128782124855,-325.1766357893573
25050.0,put,24.4,294.21452586468695,189.86971591925976,0.05,269.81452586468697,165.46971591925976,1105.7972371503565,678.1545734395892,1.0080482897384306,-0.8682204566106618,0.0013386391563220035,679.4299712957708,57.80570086118121,-357.7832558251102
25100.0,put,28.8,327.59622763943844,234.7716770943116,0.05,298.7962276394384,205.9716770943116,1037.4869015258278,715.1794343552485,1.0100603621730382,-0.9234240410892741,0.0009005099950459731,457.0563151362549,467.5080507948324,-381.07165640815515
25150.0,put,28.25,362.80951490255757,281.8993703008964,0.05,334.55951490255757,253.6493703008964,1184.2814686816198,897.8738771713147,1.012072434607646,-0.9588781191096156,0.0005505067747101669,279.41122174188405,784.7916223308068,-396.3291062494494
25200.0,put,31.1,399.75175038419184,330.3929435948885,0.05,368.6517503841918,299.29294359488847,1185.375403164604,962.3567318163616,1.0140845070422535,-0.9795916613952844,0.00030600891977695867,155.31566561339747,1002.4089391635998,-405.5876010290581
25250.0,put,26.65,438.3089319069659,379.6497714532961,0.05,411.6589319069659,352.99977145329615,1544.6864236659135,1324.5770035770963,1.0160965794768613,-0.9906063384181136,0.00015475659181388192,78.54713216579826,1136.0485137934852,-410.8967224297548
25300.0,put,27.85,478.3588477038247,429.2951746736726,0.05,450.5088477038247,401.44517467367257,1617.6260240711838,1441.4548462250361,1.0181086519114688,-0.9959403801646324,7.124468284278176e-05,36.16043396776577,1210.3661153823673,-413.8917307687361
25350.0,put,22.95,519.7742344871476,479.1209045806427,0.05,496.82423448714763,456.1709045806427,2164.8114792468305,1987.672786843759,1.0201207243460764,-0.9982940441779852,2.9873547072236325e-05,15.16240066184799,1248.4637243489942,-415.6722394915655
